,BP,canonical_smiles
269,411.67758842262015,CCC(=O)C(=C)C
270,411.6779231513975,CC(=C)CC(=O)C
271,406.6777827239148,CCC=CCC=O
272,406.6775557441525,CCC=CCC=O
273,406.6777905091863,CC(C)C=CC=O
274,406.677519376846,CC(=C(C)C=O)C
275,406.677519376846,CC(C)(C=C)C=O
276,396.65604606732313,CCCOC(=O)C=C
277,396.6567594022112,CCC(=O)OCC=C
278,396.65604606732313,CCOC(=O)CC=C
279,388.8495079122816,CCCC(=O)OC=C
280,396.6561607101661,CC(C)C(=O)OC=C
281,396.65635365574906,CC(C)OC(=O)C=C
282,401.0497942847117,CCCC(=O)C(=O)C
283,439.9999451434119,CCC(=O)OC(=O)CC
284,337.52764923393755,CCC1(CC1)C
285,340.00970228484726,CCC1CC1C
286,325.8499838446413,CC1CC1(C)C
287,342.14979350083684,CCCC1CC1
288,331.45047225502634,CC(C)C1CC1
289,337.5278159969878,CC1(CCC1)C
290,337.5279792860829,CC1CCC1C
291,329.8505022649828,CC1CCC1C
292,333.55050075679344,CC1CC(C1)C
293,343.6494555118328,CCC1CCC1
294,344.849891577699,CC1CCCC1
295,353.7498513362773,C1CCCCC1
296,336.8502616414714,CCCCC=C
297,340.850240559697,CCCC=CC
298,341.88022533454733,CCCC=CC
299,340.8697381664876,CCCC=CC
300,339.79975591739054,CCC=CCC
301,339.4502667014835,CCC=CCC
302,340.0498633716613,CCC=CCC
303,335.1007267240401,CCCC(=C)C
304,327.18060202187235,CCC(C)C=C
305,326.8600612331864,CC(C)CC=C
306,330.19945248634383,CC=CC(C)C
307,329.37967678066866,CC=CC(C)C
308,331.60015353787526,CC=CC(C)C
309,340.2993091197203,CCC=C(C)C
310,340.8998056155374,CCC(=CC)C
311,340.7005488261456,CCC(=CC)C
312,343.44021920526984,CCC(=CC)C
313,328.61037852044586,CC(C)C(=C)C
314,346.20018838610514,CC(=C(C)C)C
315,314.2395883341435,CC(C)(C)C=C
316,337.66932988182685,CCC(=C)CC
317,366.8500800860799,CCCCOC=C
318,370.6349962303787,CCC(C)OC=C
319,370.6346022985644,CC(C)(C)OC=C
320,356.0505663496096,CC(C)CC(C)C
321,356.5503837727092,CC(C)OCC=C
322,364.0506119003995,CCCOC(=O)C=C
323,401.8495009346418,CCCCCC=O
324,390.85038009911176,CCCC(C)C=O
325,390.6341477000673,CC(C)CCC=O
326,389.85042536486674,CCC(CC)C=O
327,376.0002795167038,CCC(C)(C)C=O
328,390.6345247437792,CC(C)C(C)C=O
329,395.8502033560181,CCCC(=O)CC
330,389.8501275567874,CCC(C)C(=O)C
331,388.8503894348664,C(C(=O)O)(C(=O)O)O
332,378.00066774729737,CCC1CCCO1
333,380.635201418605,CCC1CCOC1
334,364.9993685963247,CC1(CCCO1)C
335,380.6344202618805,CC1CCOC1C
336,380.6345965761448,CC1CC(OC1)C
337,365.8504280335277,CC1CCC(O1)C
338,380.6347940194988,CC1(CCOC1)C
339,381.5001470595327,CC1COCC1C
